Question,Answer,Category
Write in Romaji: ありがっとう,arigattou,Hiragana
Write in Romaji: かった,katta,Hiragana
Write in Romaji: さっか,sakka,Hiragana
Write in Romaji: はっぱ,happa,Hiragana
Write in Romaji: あんんあい,annai,Hiragana
Write in Romaji: ハロウィーン,harowiin,Katakana
Write in Romaji: シェフ,shefu,Katakana
Write in Romaji: ジェームス,jeemusu,Katakana
Write in Romaji: ラーメン,raamen,Katakana
Write in Romaji: ファッション,fasshon,Katakana
Write in Romaji: フィリピン,firipin,Katakana
Write in Romaji: ヂズニーランド,dizuniirando,Katakana
What is the english translation of: こうこう,high school,Vocabulary
What is the english translation of: かんこく,korea,Vocabulary
What is the english translation of: ちゅうごく,china,Vocabulary
What is the english translation of: イギリス,britain,Vocabulary
What is the english translation of: かがく,science,Vocabulary
What is the english translation of: けえざい,economics,Vocabulary
What is the english translation of: こくさいかんけえ,international relations,Vocabulary
What is the english translation of: コンピューターかがく,computer science,Vocabulary
What is the english translation of: せえじ,politics,Vocabulary
What is the english translation of: ぶんがく,literature,Vocabulary
What is the english translation of: れきし,history,Vocabulary
What is the english translation of: しごと,job,Vocabulary
What is the english translation of: いしゃ,doctor,Vocabulary
What is the english translation of: かいしゃいん,office worker,Vocabulary
What is the english translation of: こうこうせい,high school student,Vocabulary
What is the english translation of: だいがくいんせい,graduate student,Vocabulary
What is the english translation of: だいがくせい,college student,Vocabulary
What is the english translation of: べんごし,lawyer,Vocabulary
What is the english translation of: しゅふ,housewife,Vocabulary
